Date,Hueco Springs,San Antonio Springs,J17,San Pedro Springs,Leona Springs,J27,Las Moras Springs,Barton Springs,San Marcos Springs,Comal Springs
1927,null,null,null,null,null,null,null,null,null,298.4615385
1928,null,null,null,null,null,null,null,null,null,287.1704545
1929,null,null,null,null,null,857.098,null,null,null,288.7847025
1930,null,null,null,null,null,854.9451429,null,null,null,272.6376404
1931,null,null,null,null,null,872.602,null,null,null,319.7865169
1932,null,null,684.1765909,null,null,878.818,null,null,null,320.7983425
1933,null,null,677.1337288,null,null,null,null,null,null,309.8931507
1934,null,null,670.4065014,null,null,867.978,null,null,null,314.0356164
1935,null,null,673.6804264,null,null,873.488,null,null,null,326.2082192
1936,null,null,680.1553503,null,null,877.938,null,null,null,360.7185792
1937,null,null,678.2729834,null,null,878.963,null,null,null,347.8356164
1938,null,null,676.8616343,null,null,876.0905,null,null,null,342.7890411
1939,null,null,670.1992975,null,19.83,873.0857778,null,null,null,299.8684932
1940,null,null,665.1854407,null,18.925,870.6103404,null,null,null,278.010929
1941,null,null,676.372,null,20.97,873.4585248,null,null,null,343.0191781
1942,null,null,676.4451944,null,26,875.3434848,null,null,null,348.3808219
1943,null,null,673.1392174,null,20.72222222,873.2792329,null,null,null,339.9808219
1944,null,null,672.1977966,null,10.491,869.2681639,null,null,null,345.2595628
1945,null,null,675.22375,null,11.83333333,869.6105479,null,null,null,359.7972603
1946,null,null,673.1632849,null,2.707,865.6314247,null,null,null,358.9808219
1947,null,null,672.032386,null,12.94363636,870.5595616,null,null,null,352.1232877
1948,null,null,659.5776527,null,3.505,865.5229267,null,null,null,276.6775956
1949,null,null,662.7228493,null,7.334,867.2418339,null,null,null,286.7315068
1950,null,null,659.4780274,null,9.821818182,869.1498539,null,null,null,260.6547945
1951,null,0,648.3519452,0.03,0.04,856.3761734,null,null,null,203.2273973
1952,null,0,642.6324863,0,0,838.9056,null,null,null,181.1584699
1953,null,null,642.8683754,null,0,829.4209041,null,null,null,191.3369863
1954,null,null,636.9097959,null,0.079090909,833.0863014,null,null,null,135.139726
1955,null,null,630.8421547,null,0,829.9778904,null,null,null,90.19452055
1956,null,null,623.1296712,null,7.072727273,824.051863,null,null,68.93478261,31.63561644
1957,null,null,637.1188767,null,19.68333333,827.5126849,null,null,152.3178082,145.7260274
1958,null,51.53333333,666.7902486,6.28195122,0.007363636,855.1127671,null,null,211.9369863,313.5753425
1959,null,34.975,672.0217534,8.725,14.03454545,872.7922192,null,null,160.290411,313.5150685
1960,null,12,671.8566027,9.32,34.05833333,876.9367569,null,null,194.9123288,317.2493151
1961,null,67.05,674.8342466,8.96,32.09090909,878.7004716,null,null,190.9835616,334.0136986
1962,null,6.28,663.4681044,3.54,23.475,875.2327671,null,null,132.4082192,265.5260274
1963,null,null,651.8883146,null,4.003,867.0792055,null,null,108.7150685,207.5616438
1964,null,null,648.0645205,null,0.045833333,857.0626087,null,null,96.69315068,188.8849315
1965,null,null,659.6286849,1.79,0.185,865.2859452,null,null,169.9232877,260.9287671
1966,null,null,659.4361538,4.63,1.696666667,866.0383014,null,null,153.8109589,266.5726027
1967,null,null,644.819351,null,0.23,863.0337222,null,null,107.2520548,180.9452055
1968,null,null,670.1430137,null,12.32888889,872.5667671,null,null,197.2219178,318.690411
1969,null,null,664.3702466,null,9.182222222,871.7252055,null,null,162.7506849,290.8465753
1970,null,null,665.8043014,null,21.77272727,875.2103562,null,null,199.690411,306.0630137
1971,null,null,651.6140274,3.08,13.7,872.1849589,null,null,126.8383562,219.0849315
1972,null,null,667.9946301,null,26.60833333,877.5114247,null,null,160.5945205,309.4630137
1973,null,112.7,681.9524658,13.15,36.1,879.295464,null,null,218.5232877,384.4958904
1974,null,54.95,678.2443562,8.63625,38.95833333,880.2705794,null,null,184.7726027,380.139726
1975,null,26.4,679.3312055,6.9,47.5,881.9265016,null,null,234.9260274,393.8547945
1976,null,22.5,678.1314286,6.5,48.13636364,881.3367671,null,null,211.0630137,367.4767123
1977,null,149,686.5059116,15.96666667,63.27,885.0454586,null,null,223.3917808,388.6520548
1978,null,null,673.2055807,null,31.5,879.6649863,null,29.41503268,120.7506849,320.4794521
1979,null,76.3,682.3877534,12.3,34.87,880.2103288,null,81.23013699,200.1890411,394.6136986
1980,null,50.9,663.2838968,9.14,14.73333333,873.6894722,null,46.76164384,132.1643836,282.0465753
1981,null,16.2,674.4084807,6.4,24.18777778,876.3439767,null,74.70136986,180.9369863,312.3479452
1982,null,null,665.4723288,0.11,32.7125,880.1700548,null,47.83835616,129.1123288,272.3972603
1983,null,null,657.3258678,0.765,20.55,875.3814589,null,64.62739726,146.7753425,233.9506849
1984,null,null,638.7572329,null,11.21666667,864.8471429,null,34.6,99.55890411,123.3945205
1985,null,null,659.312562,1.095,12.66833333,872.3953889,null,67.98356164,182.3616438,249.9753425
1986,null,11.97666667,666.7662466,3.935555556,23.93333333,876.037386,null,69.47123288,200.9452055,287.3068493
1987,null,62.4,684.2446429,10.7,66.75,886.256048,null,93.70958904,253.509589,360.4739726
1988,null,60.25,664.5754521,6.378,47.58333333,882.4469041,null,44.7890411,140.4109589,275.3041096
