Date,Hueco Springs,San Antonio Springs,San Pedro Springs,Leona Springs,Las Moras Springs,Barton Springs,San Marcos Springs,Comal Springs
1927,null,null,null,null,null,null,null,298.4615385
1928,null,null,null,null,null,null,null,287.1704545
1929,null,null,null,null,null,null,null,288.7847025
1930,null,null,null,null,null,null,null,272.6376404
1931,null,null,null,null,null,null,null,319.7865169
1932,null,null,null,null,null,null,null,320.7983425
1933,null,null,null,null,null,null,null,309.8931507
1934,null,null,null,null,null,null,null,314.0356164
1935,null,null,null,null,null,null,null,326.2082192
1936,null,null,null,null,null,null,null,360.7185792
1937,null,null,null,null,null,null,null,347.8356164
1938,null,null,null,null,null,null,null,342.7890411
1939,null,null,null,19.83,null,null,null,299.8684932
1940,null,null,null,18.925,null,null,null,278.010929
1941,null,null,null,20.97,null,null,null,343.0191781
1942,null,null,null,26,null,null,null,348.3808219
1943,null,null,null,20.72222222,null,null,null,339.9808219
1944,null,null,null,10.491,null,null,null,345.2595628
1945,null,null,null,11.83333333,null,null,null,359.7972603
1946,null,null,null,2.707,null,null,null,358.9808219
1947,null,null,null,12.94363636,null,null,null,352.1232877
1948,null,null,null,3.505,null,null,null,276.6775956
1949,null,null,null,7.334,null,null,null,286.7315068
1950,null,null,null,9.821818182,null,null,null,260.6547945
1951,null,0,0.03,0.04,null,null,null,203.2273973
1952,null,0,0,0,null,null,null,181.1584699
1953,null,null,null,0,null,null,null,191.3369863
1954,null,null,null,0.079090909,null,null,null,135.139726
1955,null,null,null,0,null,null,null,90.19452055
1956,null,null,null,7.072727273,null,null,68.93478261,31.63561644
1957,null,null,null,19.68333333,null,null,152.3178082,145.7260274
1958,null,51.53333333,6.28195122,0.007363636,null,null,211.9369863,313.5753425
1959,null,34.975,8.725,14.03454545,null,null,160.290411,313.5150685
1960,null,12,9.32,34.05833333,null,null,194.9123288,317.2493151
1961,null,67.05,8.96,32.09090909,null,null,190.9835616,334.0136986
1962,null,6.28,3.54,23.475,null,null,132.4082192,265.5260274
1963,null,null,null,4.003,null,null,108.7150685,207.5616438
1964,null,null,null,0.045833333,null,null,96.69315068,188.8849315
1965,null,null,1.79,0.185,null,null,169.9232877,260.9287671
1966,null,null,4.63,1.696666667,null,null,153.8109589,266.5726027
1967,null,null,null,0.23,null,null,107.2520548,180.9452055
1968,null,null,null,12.32888889,null,null,197.2219178,318.690411
1969,null,null,null,9.182222222,null,null,162.7506849,290.8465753
1970,null,null,null,21.77272727,null,null,199.690411,306.0630137
1971,null,null,3.08,13.7,null,null,126.8383562,219.0849315
1972,null,null,null,26.60833333,null,null,160.5945205,309.4630137
1973,null,112.7,13.15,36.1,null,null,218.5232877,384.4958904
1974,null,54.95,8.63625,38.95833333,null,null,184.7726027,380.139726
1975,null,26.4,6.9,47.5,null,null,234.9260274,393.8547945
1976,null,22.5,6.5,48.13636364,null,null,211.0630137,367.4767123
1977,null,149,15.96666667,63.27,null,null,223.3917808,388.6520548
1978,null,null,null,31.5,null,29.41503268,120.7506849,320.4794521
1979,null,76.3,12.3,34.87,null,81.23013699,200.1890411,394.6136986
1980,null,50.9,9.14,14.73333333,null,46.76164384,132.1643836,282.0465753
1981,null,16.2,6.4,24.18777778,null,74.70136986,180.9369863,312.3479452
1982,null,null,0.11,32.7125,null,47.83835616,129.1123288,272.3972603
1983,null,null,0.765,20.55,null,64.62739726,146.7753425,233.9506849
1984,null,null,null,11.21666667,null,34.6,99.55890411,123.3945205
1985,null,null,1.095,12.66833333,null,67.98356164,182.3616438,249.9753425
1986,null,11.97666667,3.935555556,23.93333333,null,69.47123288,200.9452055,287.3068493
