Date,J17,J27
1927,null,null
1928,null,null
1929,null,857.098
1930,null,854.9451429
1931,null,872.602
1932,684.1765909,878.818
1933,677.1337288,null
1934,670.4065014,867.978
1935,673.6804264,873.488
1936,680.1553503,877.938
1937,678.2729834,878.963
1938,676.8616343,876.0905
1939,670.1992975,873.0857778
1940,665.1854407,870.6103404
1941,676.372,873.4585248
1942,676.4451944,875.3434848
1943,673.1392174,873.2792329
1944,672.1977966,869.2681639
1945,675.22375,869.6105479
1946,673.1632849,865.6314247
1947,672.032386,870.5595616
1948,659.5776527,865.5229267
1949,662.7228493,867.2418339
1950,659.4780274,869.1498539
1951,648.3519452,856.3761734
1952,642.6324863,838.9056
1953,642.8683754,829.4209041
1954,636.9097959,833.0863014
1955,630.8421547,829.9778904
1956,623.1296712,824.051863
1957,637.1188767,827.5126849
1958,666.7902486,855.1127671
1959,672.0217534,872.7922192
1960,671.8566027,876.9367569
1961,674.8342466,878.7004716
1962,663.4681044,875.2327671
1963,651.8883146,867.0792055
1964,648.0645205,857.0626087
1965,659.6286849,865.2859452
1966,659.4361538,866.0383014
1967,644.819351,863.0337222
1968,670.1430137,872.5667671
1969,664.3702466,871.7252055
1970,665.8043014,875.2103562
1971,651.6140274,872.1849589
1972,667.9946301,877.5114247
1973,681.9524658,879.295464
1974,678.2443562,880.2705794
1975,679.3312055,881.9265016
1976,678.1314286,881.3367671
1977,686.5059116,885.0454586
1978,673.2055807,879.6649863
1979,682.3877534,880.2103288
1980,663.2838968,873.6894722
1981,674.4084807,876.3439767
1982,665.4723288,880.1700548
1983,657.3258678,875.3814589
1984,638.7572329,864.8471429
1985,659.312562,872.3953889
1986,666.7662466,876.037386
1987,684.2446429,886.256048
1988,664.5754521,882.4469041
1989,644.1396164,873.1904242
1990,645.8410221,868.7764932
1991,654.8158678,871.089863
1992,691.9648219,883.5515068
1993,683.4692308,882.3185932
1994,669.7216712,877.275907
1995,664.4586301,875.397723
1996,644.6670137,866.9683836
1997,662.8818356,874.4134521
1998,667.5953425,876.3387671
1999,670.4010411,880.5413699
2000,656.2360274,873.1582192
2001,674.8288493,876.2714795
2002,681.6908767,879.2648785
2003,684.3711205,881.644
2004,686.4410986,882.9960979
2005,686.1333929,883.9458078
2006,662.8053188,874.5157791
2007,683.9354127,875.9406451
2008,674.1470519,878.3625895
2009,658.7831093,866.5612841
2010,676.1341686,866.5379862
2011,653.7013399,854.7775459
2012,651.5633416,844.3136522
2013,648.2487606,842.7344508
