Date,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Hueco Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.27142857,95.61428571,103.704878,68.60547945,73.4,65.89589041,10.61589041,79.1339726,24.16383562,23.1230137,70.71506849,14.73884932,32.68931507,15.29770993
San Antonio Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null,null,51.53333333,34.975,12,67.05,6.28,null,null,null,null,null,null,null,null,null,null,112.7,54.95,26.4,22.5,149,null,76.3,50.9,16.2,null,null,null,null,11.97666667,62.4,60.25,null,null,2.664,146.85,119.01,34.4,17.7,null,18.9,59.272,21.97571429,5.4,35.45,105.7666667,94,126.1111111,139.44,5.705714286,100.317,31.8,0,30.1,0,0,0
J17,null,null,null,null,null,684.1765909,677.1337288,670.4065014,673.6804264,680.1553503,678.2729834,676.8616343,670.1992975,665.1854407,676.372,676.4451944,673.1392174,672.1977966,675.22375,673.1632849,672.032386,659.5776527,662.7228493,659.4780274,648.3519452,642.6324863,642.8683754,636.9097959,630.8421547,623.1296712,637.1188767,666.7902486,672.0217534,671.8566027,674.8342466,663.4681044,651.8883146,648.0645205,659.6286849,659.4361538,644.819351,670.1430137,664.3702466,665.8043014,651.6140274,667.9946301,681.9524658,678.2443562,679.3312055,678.1314286,686.5059116,673.2055807,682.3877534,663.2838968,674.4084807,665.4723288,657.3258678,638.7572329,659.312562,666.7662466,684.2446429,664.5754521,644.1396164,645.8410221,654.8158678,691.9648219,683.4692308,669.7216712,664.4586301,644.6670137,662.8818356,667.5953425,670.4010411,656.2360274,674.8288493,681.6908767,684.3711205,686.4410986,686.1333929,662.8053188,683.9354127,674.1470519,658.7831093,676.1341686,653.7013399,651.5633416,648.2487606
San Pedro Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.03,0,null,null,null,null,null,6.28195122,8.725,9.32,8.96,3.54,null,null,1.79,4.63,null,null,null,null,3.08,null,13.15,8.63625,6.9,6.5,15.96666667,null,12.3,9.14,6.4,0.11,0.765,null,1.095,3.935555556,10.7,6.378,0,null,2.79,20.63333333,13.43428571,9.585,2.88125,3.72,4.47,7.667142857,6.208888889,2.252,10.11777778,14.928,13.8,16.52222222,16.803,3.244285714,13.789,7.063636364,1.311,7.943333333,2.3375,0.854333333,0.155055556
Leona Springs,null,null,null,null,null,null,null,null,null,null,null,null,19.83,18.925,20.97,26,20.72222222,10.491,11.83333333,2.707,12.94363636,3.505,7.334,9.821818182,0.04,0,0,0.079090909,0,7.072727273,19.68333333,0.007363636,14.03454545,34.05833333,32.09090909,23.475,4.003,0.045833333,0.185,1.696666667,0.23,12.32888889,9.182222222,21.77272727,13.7,26.60833333,36.1,38.95833333,47.5,48.13636364,63.27,31.5,34.87,14.73333333,24.18777778,32.7125,20.55,11.21666667,12.66833333,23.93333333,66.75,47.58333333,17.05142857,7.525,7.204285714,55.86666667,51.14285714,30.36666667,24.6,10.6725,19.75833333,23.45333333,38.6,17.61428571,11.17714286,6.461428571,37.34285714,53.21428571,79,null,8.87,null,null,null,null,null,null
J27,null,null,857.098,854.9451429,872.602,878.818,null,867.978,873.488,877.938,878.963,876.0905,873.0857778,870.6103404,873.4585248,875.3434848,873.2792329,869.2681639,869.6105479,865.6314247,870.5595616,865.5229267,867.2418339,869.1498539,856.3761734,838.9056,829.4209041,833.0863014,829.9778904,824.051863,827.5126849,855.1127671,872.7922192,876.9367569,878.7004716,875.2327671,867.0792055,857.0626087,865.2859452,866.0383014,863.0337222,872.5667671,871.7252055,875.2103562,872.1849589,877.5114247,879.295464,880.2705794,881.9265016,881.3367671,885.0454586,879.6649863,880.2103288,873.6894722,876.3439767,880.1700548,875.3814589,864.8471429,872.3953889,876.037386,886.256048,882.4469041,873.1904242,868.7764932,871.089863,883.5515068,882.3185932,877.275907,875.397723,866.9683836,874.4134521,876.3387671,880.5413699,873.1582192,876.2714795,879.2648785,881.644,882.9960979,883.9458078,874.5157791,875.9406451,878.3625895,866.5612841,866.5379862,854.7775459,844.3136522,842.7344508
Las Moras Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.08695652,39.00273973,30.24383562,11.22493151,33.33863014,22.7369863,11.27342466,15.73452055,5.873972603,4.180054795,2.436828728
Barton Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.41503268,81.23013699,46.76164384,74.70136986,47.83835616,64.62739726,34.6,67.98356164,69.47123288,93.70958904,44.7890411,32.83835616,27.4109589,78.42191781,105.7315068,87.65205479,42.53150685,65.89589041,27.21369863,79.98356164,86.55068493,64.25479452,37.9369863,90.74520548,97.4739726,85.04109589,68.95890411,80.5369863,27.89041096,89.53972603,36.85479452,29.01369863,90.14794521,31.17534247,63.64657534,45.04901826
San Marcos Springs,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,68.93478261,152.3178082,211.9369863,160.290411,194.9123288,190.9835616,132.4082192,108.7150685,96.69315068,169.9232877,153.8109589,107.2520548,197.2219178,162.7506849,199.690411,126.8383562,160.5945205,218.5232877,184.7726027,234.9260274,211.0630137,223.3917808,120.7506849,200.1890411,132.1643836,180.9369863,129.1123288,146.7753425,99.55890411,182.3616438,200.9452055,253.509589,140.4109589,100.1835616,114.0438356,190.4712329,343.709589,190.739726,136.2,158.8027397,99.19452055,186.4520548,217.7561644,180.0739726,140.6739726,232.8493151,271.3818681,233.8547945,212.060274,233.8136986,111.6684932,266.490411,139.8630137,112.9616438,216.5780822,117.3945205,163.6383562,142.3955125
Comal Springs,298.4615385,287.1704545,288.7847025,272.6376404,319.7865169,320.7983425,309.8931507,314.0356164,326.2082192,360.7185792,347.8356164,342.7890411,299.8684932,278.010929,343.0191781,348.3808219,339.9808219,345.2595628,359.7972603,358.9808219,352.1232877,276.6775956,286.7315068,260.6547945,203.2273973,181.1584699,191.3369863,135.139726,90.19452055,31.63561644,145.7260274,313.5753425,313.5150685,317.2493151,334.0136986,265.5260274,207.5616438,188.8849315,260.9287671,266.5726027,180.9452055,318.690411,290.8465753,306.0630137,219.0849315,309.4630137,384.4958904,380.139726,393.8547945,367.4767123,388.6520548,320.4794521,394.6136986,282.0465753,312.3479452,272.3972603,233.9506849,123.3945205,249.9753425,287.3068493,360.4739726,275.3041096,161.3534247,175.939726,234.9643836,441.9424658,385.169863,312.4164384,277.3846027,172.3944932,260.9726027,301.9616438,342.2,262.7534247,340.5796703,380.1703297,390.4027397,380.3972603,397.8739726,271.2821918,364.8164384,323.6978022,244.9369863,343.0246575,226.5863014,217.5671233,201.3740971
